"","N1_Delta5"
"line_153:1",TRUE
"line_153:2",TRUE
"line_303:1",TRUE
"line_303:2",TRUE
"line_380:1",TRUE
"line_380:2",TRUE
"line_367:1",TRUE
"line_367:2",TRUE
"line_42:1",TRUE
"line_42:2",TRUE
"line_509:1",TRUE
"line_509:2",TRUE
"line_707:1",TRUE
"line_707:2",TRUE
"line_732:1",TRUE
"line_732:2",TRUE
"line_360:1",TRUE
"line_360:2",TRUE
"line_208:1",TRUE
"line_208:2",TRUE
"line_235:1",TRUE
"line_235:2",TRUE
"line_229:1",TRUE
"line_229:2",TRUE
"line_859:1",TRUE
"line_859:2",TRUE
"line_57:1",TRUE
"line_57:2",TRUE
"line_439:1",TRUE
"line_439:2",TRUE
"line_385:1",TRUE
"line_385:2",TRUE
"line_217:1",TRUE
"line_217:2",TRUE
"line_307:1",TRUE
"line_307:2",TRUE
"line_26:1",TRUE
"line_26:2",TRUE
"line_256:1",TRUE
"line_256:2",TRUE
"line_377:1",TRUE
"line_377:2",TRUE
"line_105:1",TRUE
"line_105:2",TRUE
"line_365:1",TRUE
"line_365:2",TRUE
"line_852:1",TRUE
"line_852:2",TRUE
"line_356:1",TRUE
"line_356:2",TRUE
"line_59:1",TRUE
"line_59:2",TRUE
"line_765:1",TRUE
"line_765:2",TRUE
"line_239:1",TRUE
"line_239:2",TRUE
"line_40:1",TRUE
"line_40:2",TRUE
"line_357:1",TRUE
"line_357:2",TRUE
"line_517:1",TRUE
"line_517:2",TRUE
"line_361:1",TRUE
"line_361:2",TRUE
"line_158:1",TRUE
"line_158:2",TRUE
"line_703:1",TRUE
"line_703:2",TRUE
"line_712:1",TRUE
"line_712:2",TRUE
"line_304:1",TRUE
"line_304:2",TRUE
"line_85:1",TRUE
"line_85:2",TRUE
"line_399:1",TRUE
"line_399:2",TRUE
"line_391:1",TRUE
"line_391:2",TRUE
"line_176:1",TRUE
"line_176:2",TRUE
"line_705:1",TRUE
"line_705:2",TRUE
"line_332:1",TRUE
"line_332:2",TRUE
"line_820:1",FALSE
"line_820:2",FALSE
"line_21:1",FALSE
"line_21:2",FALSE
"line_738:1",FALSE
"line_738:2",FALSE
"line_437:1",FALSE
"line_437:2",FALSE
"line_555:1",FALSE
"line_555:2",FALSE
"line_136:1",FALSE
"line_136:2",FALSE
"line_324:1",FALSE
"line_324:2",FALSE
"line_335:1",FALSE
"line_335:2",FALSE
"line_195:1",FALSE
"line_195:2",FALSE
"line_371:1",FALSE
"line_371:2",FALSE
"line_808:1",FALSE
"line_808:2",FALSE
"line_28:1",FALSE
"line_28:2",FALSE
"line_406:1",FALSE
"line_406:2",FALSE
"line_382:1",FALSE
"line_382:2",FALSE
"line_374:1",FALSE
"line_374:2",FALSE
"line_427:1",FALSE
"line_427:2",FALSE
"line_149:1",FALSE
"line_149:2",FALSE
"line_359:1",FALSE
"line_359:2",FALSE
"line_786:1",FALSE
"line_786:2",FALSE
"line_373:1",FALSE
"line_373:2",FALSE
"line_161:1",FALSE
"line_161:2",FALSE
"line_358:1",FALSE
"line_358:2",FALSE
"line_900:1",FALSE
"line_900:2",FALSE
"line_313:1",FALSE
"line_313:2",FALSE
"line_109:1",FALSE
"line_109:2",FALSE
"line_379:1",FALSE
"line_379:2",FALSE
"line_639:1",FALSE
"line_639:2",FALSE
"line_843:1",FALSE
"line_843:2",FALSE
"line_287:1",FALSE
"line_287:2",FALSE
"line_730:1",FALSE
"line_730:2",FALSE
"line_41:1",FALSE
"line_41:2",FALSE
"line_189:1",FALSE
"line_189:2",FALSE
"line_88:1",FALSE
"line_88:2",FALSE
"line_392:1",FALSE
"line_392:2",FALSE
"line_280:1",FALSE
"line_280:2",FALSE
"line_73:1",FALSE
"line_73:2",FALSE
"line_142:1",FALSE
"line_142:2",FALSE
"line_228:1",FALSE
"line_228:2",FALSE
"line_227:1",FALSE
"line_227:2",FALSE
"line_75:1",FALSE
"line_75:2",FALSE
"line_819:1",FALSE
"line_819:2",FALSE
"line_181:1",FALSE
"line_181:2",FALSE
"line_486:1",FALSE
"line_486:2",FALSE
"line_375:1",FALSE
"line_375:2",FALSE
"line_83:1",FALSE
"line_83:2",FALSE
"line_362:1",FALSE
"line_362:2",FALSE
"line_138:1",FALSE
"line_138:2",FALSE
"line_714:1",FALSE
"line_714:2",FALSE
"line_101:1",FALSE
"line_101:2",FALSE
"line_237:1",FALSE
"line_237:2",FALSE
"line_45:1",FALSE
"line_45:2",FALSE
"line_93:1",FALSE
"line_93:2",FALSE
"line_38:1",FALSE
"line_38:2",FALSE
"line_315:1",FALSE
"line_315:2",FALSE
"line_491:1",FALSE
"line_491:2",FALSE
"line_383:1",FALSE
"line_383:2",FALSE
"line_301:1",FALSE
"line_301:2",FALSE
"line_91:1",FALSE
"line_91:2",FALSE
"line_177:1",FALSE
"line_177:2",FALSE
"line_352:1",FALSE
"line_352:2",FALSE
"line_757:1",FALSE
"line_757:2",FALSE
"line_129:1",FALSE
"line_129:2",FALSE
"line_370:1",FALSE
"line_370:2",FALSE
"line_774:1",FALSE
"line_774:2",FALSE
"line_381:1",FALSE
"line_381:2",FALSE
